question,query
Mağaza tablosu içerisinde bulunan konumları ekrana getir.,SELECT konum
Cinsiyeti Erkek olan tüm çalışanların cinsiyetlerini getir.,SELECT cinsiyet WHERE cinsiyet EQL Erkek
Tarihi 13/01/2018 olan randevuların numaralarını listele.,SELECT numara WHERE tarih EQL 13/01/2018
Yazarı Dan Brown olan kitapların başlıklarını listele.,SELECT baslik WHERE yazar EQL Dan Brown
Telefon tablosu içinde kaç tane telefon kaydı olduğunu ekrana getir.,SELECT count(numara)
Müşteriler tablosunda numarası 1 olan müşterilerin şehirlerini getir.,SELECT sehir WHERE numara EQL 1
Çiftliklerden at sayısı 2 olan çiftliklerin numaralarını getir.,SELECT numara WHERE at_sayisi EQL 2
Bütün havalimanlarının uluslarası yolcularını göster.,SELECT uluslararasi_yolcu
Tüm trenlerin numaralarını listele.,SELECT numara
Müşterilerin şehirlerini getir.,SELECT sehir
Kalkış tarihi 19/05/2022 13:00 olan uçuşların mesafelerini bul.,SELECT mesafe WHERE kalkis_tarihi EQL 19/05/2022 13:00
Personeller tablosundan cinsiyeti Male olan personellerin soyadlarını getir.,SELECT soyad WHERE cinsiyet EQL Male
Pilotlar tablosunda numarası 1 olan pilotların cinsiyetlerini getir.,SELECT cinsiyet WHERE numara EQL 1
Adı Burger King olan restoranların tiplerini getir.,SELECT tip WHERE ad EQL Burger King
Müzeler tablosunda adı Gallery of Earth olan müzelerin numaralarını getir.,SELECT numara WHERE ad EQL Gallery of Earth
Müşteriler tablosunda telefonu 2122121212 olan müşterilerin e-postalarını getir.,SELECT eposta WHERE telefon EQL 2122121212
Numarası 1 olan sinemaların yerlerini listele.,SELECT yer WHERE numara EQL 1
Tüm yayınların numaralarını görüntüle.,SELECT numara
Bütün uçuşların numaralarını getir.,SELECT numara
Ülkesi Türkiye olan tüm şarkıların türlerini getir.,SELECT tur WHERE ulke EQL Türkiye
Insanların kilolarını göster.,SELECT kilo
Veritabanındaki öğrencilerden en büyük yaşı yazdır.,SELECT max(yas)
Veritabanındaki mimarların sayısını yazdır.,SELECT count(numara)
Tüm hastaların sadece numaralarını göster.,SELECT numara
Personellerden soyadı Taylor olan personellerin cinsiyetlerini göster.,SELECT cinsiyet WHERE soyad EQL Taylor
Çiftlikler içerisinde en yüksek keçi sayısı kaçtır?,SELECT max(keci_sayisi)
Uçuşlar tablosunda numarası TK1919 olan uçuşların varışlarını getir.,SELECT varis WHERE kod EQL TK1919
Oyunlar tablosundaki en büyük numarayı listele.,SELECT max(numara)
Yarışlardan numarası 1 olan yarışların tarihlerini göster.,SELECT tarih WHERE numara EQL 1
Ülkesi Türkiye olan şarkıların sanatçılarını listele.,SELECT sanatci WHERE ulke EQL Türkiye
Bütün hemşirelerin kayıtlarını göster.,SELECT kayit
Telefonu 1 505-644-9320 olan personellerin numaralarını bul.,SELECT numara WHERE telefon EQL 1 505-644-9320
Telefonlardan numarası 1 olan telefonların çip modellerini getir.,SELECT cip_modeli WHERE numara EQL 1
Numarası 1 olan şehirlerin nüfuslarını listele.,SELECT nufus WHERE numara EQL 1
Şehirlerden adı Istanbul olan şehirlerin nüfuslarını getir.,SELECT nufus WHERE ad EQL Istanbul
Çiftliklerin keçi sayılarını göster.,SELECT keci_sayisi
Adı Lisa olan hemşirelerin kayıtlarını bul.,SELECT kayit WHERE ad EQL Lisa
Veritabanındaki numarası 1 olan ürünlerin numaralarını yazdır.,SELECT numara WHERE numara EQL 1
Şarkılar tablosunda çıkış tarihi 1900 olan şarkıların türlerini getir.,SELECT tur WHERE cikis_tarihi EQL 1900
Tüm insanların numaralarını görüntüle.,SELECT numara
Uçuşlardan varışı Ankara olan uçuşların başlangıçlarını göster.,SELECT baslangic WHERE varis EQL Ankara
Yönetmeni Frank Darabont olan filmlerin numaralarını getir.,SELECT numara WHERE yonetmen EQL Frank Darabont
Başlangıcı Istanbul olan uçuşların başlangıçlarını bul.,SELECT baslangic WHERE baslangic EQL Istanbul
Şehiri Barcelona olan tüm stadyumların şehirlerini getir.,SELECT sehir WHERE sehir EQL Barcelona
Cinsiyeti Erkek olan öğrencilerin numaralarını listele.,SELECT numara WHERE cinsiyet EQL Erkek
Müşteriler tablosundan e-postası ****@gmail.com olan müşterilerin kodlarını getir.,SELECT kod WHERE eposta EQL ****@gmail.com
Arabalar tablosundan modeli Mercedes olan arabaların ülkelerini getir.,SELECT ulke WHERE model EQL Mercedes
Numarası 1 olan tüm yayınların yayıncılarını getir.,SELECT yayinci WHERE numara EQL 1
Restoranlar tablosundan derecesi 2/5 olan restoranların adlarını getir.,SELECT ad WHERE derece EQL 2/5
Cihazlar tablosundan versiyonu 15 olan cihazların cihazlarını getir.,SELECT cihaz WHERE versiyon EQL 15
Tüm oyunların sadece adlarını göster.,SELECT ad
Insan tablosu içerisinde bulunan kiloları ekrana getir.,SELECT kilo
Yayınlar tablosunda numarası 1 olan yayınların alıntılarını getir.,SELECT alinti WHERE numara EQL 1
Pilot tablosu içerisinde bulunan adları ekrana getir.,SELECT ad
Koyun sayısı 5 olan çiftliklerin domuz sayılarını getir.,SELECT domuz_sayisi WHERE koyun_sayisi EQL 5
En büyük çiftlik keçi sayısını getir.,SELECT max(keci_sayisi)
Ürünler içerisinde en yüksek numara kaçtır?,SELECT max(numara)
Veritabanındaki stadyumların sayısını yazdır.,SELECT count(numara)
Tüm müzelerin personel sayılarını getir.,SELECT personel_sayisi
Hasta tablosu içerisinde bulunan sigortaları ekrana getir.,SELECT sigorta
Veritabanındaki uyruğu Alman olan oyuncuların numaralarını yazdır.,SELECT numara WHERE uyruk EQL Alman
Sinemalar tablosundaki en büyük numarayı göster.,SELECT max(numara)
Numarası 1 olan restoranların derecelerini getir.,SELECT derece WHERE numara EQL 1
Sanatçısı Muzeyyen Senar olan şarkıların dillerini listele.,SELECT dil WHERE sanatci EQL Muzeyyen Senar
Veritabanındaki fiyatı 120 olan ürünlerin numaralarını yazdır.,SELECT numara WHERE fiyat EQL 120
Personellerden adı Joseph olan personellerin numaralarını getir.,SELECT numara WHERE ad EQL Joseph
En büyük yönetici düzeyini listele.,SELECT max(duzey)
Stadyumlar tablosundan kapasitesi 99354 olan stadyumların kapasitelerini getir.,SELECT kapasite WHERE kapasite EQL 99354
Numarası 1 olan oyuncuların adlarını bul.,SELECT ad WHERE numara EQL 1
Öğretmenler tablosunda adı Richard olan öğretmenlerin adlarını getir.,SELECT ad WHERE ad EQL Richard
Öğrenci tablosu içinde kaç tane öğrenci kaydı olduğunu ekrana getir.,SELECT count(numara)
Çalışanlar tablosundaki en büyük maaşı listele.,SELECT max(maas)
Numarası 1 olan tüm trenlerin kalkışlarını getir.,SELECT kalkis WHERE numara EQL 1
Ekran modu Big olan telefonların numaralarını getir.,SELECT numara WHERE ekran_modu EQL Big
Oyunlardan adı Minecraft olan oyunların adlarını göster.,SELECT ad WHERE ad EQL Minecraft
Yarışlardan turu 4 olan yarışların turlarını getir.,SELECT tur WHERE tur EQL 4
Filmlerden yönetmeni Frank Darabont olan filmlerin yönetmenlerini getir.,SELECT yonetmen WHERE yonetmen EQL Frank Darabont
Toplam uçuş sayısını bastır.,SELECT count(numara)
Toplamda kaç personel olduğunu göster.,SELECT count(numara)
Açılış yılı 1957 olan stadyumların şehirlerini listele.,SELECT sehir WHERE acilis_yili EQL 1957
Mağazalardan açılış yılı 2020 olan mağazaların açılış yıllarını getir.,SELECT acilis_yili WHERE acilis_yili EQL 2020
Numarası 1 olan çalışanların maaşlarını getir.,SELECT maas WHERE numara EQL 1
Öğrenciler tablosunda yaşı 16 olan öğrencilerin yaşlarını getir.,SELECT yas WHERE yas EQL 16
Tarihi 01/04/2005 olan yarışların tarihlerini bul.,SELECT tarih WHERE tarih EQL 01/04/2005
Numarası 1 olan yöneticilerin adlarını bul.,SELECT ad WHERE numara EQL 1
Kredisi 4 olan derslerin numaralarını listele.,SELECT numara WHERE kredi EQL 4
Mağazaların adlarını getir.,SELECT ad
Tüm öğrencilerin sadece adlarını göster.,SELECT ad
Tüm projeleri say.,SELECT count(numara)
Veritabanındaki kitapların sayısını yazdır.,SELECT count(numara)
Soyadı Taylor olan tüm personellerin cinsiyetlerini getir.,SELECT cinsiyet WHERE soyad EQL Taylor
Yarışlardan yılı 2005 olan yarışların numaralarını göster.,SELECT numara WHERE yil EQL 2005
Yayınlardan alıntısı 29 olan yayınların yayıncılarını getir.,SELECT yayinci WHERE alinti EQL 29
En büyük stadyum kapasitesini listele.,SELECT max(kapasite)
Fiyatı 120 olan ürünlerin numaralarını listele.,SELECT numara WHERE fiyat EQL 120
Tüm yayınların sadece yayıncılarını göster.,SELECT yayinci
Cinsiyeti Male olan mimarların cinsiyetlerini getir.,SELECT cinsiyet WHERE cinsiyet EQL Male
Bütün yöneticilerin düzeylerini getir.,SELECT duzey
Uçuşlardan kalkış tarihi 19/05/2022 13:00 olan uçuşların varışlarını getir.,SELECT varis WHERE kalkis_tarihi EQL 19/05/2022 13:00
Adı Michael olan insanların doğum tarihlerini getir.,SELECT dogum_tarihi WHERE ad EQL Michael
Personeller tablosundan soyadı Taylor olan personellerin e-postalarını getir.,SELECT eposta WHERE soyad EQL Taylor
Sürücülerden soyadı Lee olan sürücülerin adlarını getir.,SELECT ad WHERE soyad EQL Lee
Sinemalardan numarası 1 olan sinemaların kapasitelerini getir.,SELECT kapasite WHERE numara EQL 1
Tüm çalışanların sadece numaralarını göster.,SELECT numara
Konumu Kadikoy olan mağazaların açılış yıllarını getir.,SELECT acilis_yili WHERE konum EQL Kadikoy
Hemşirelerin kayıtlarını göster.,SELECT kayit
Çiftlikler tablosundan domuz sayısı 2 olan çiftliklerin inek sayılarını getir.,SELECT inek_sayisi WHERE domuz_sayisi EQL 2
Oyunlardan adı Minecraft olan oyunların numaralarını getir.,SELECT numara WHERE ad EQL Minecraft
Personellerin e-postalarını göster.,SELECT eposta
Tüm mimarların adlarını listele.,SELECT ad
Projelerden en büyük numarayı getir.,SELECT max(numara)
Sürücüler tablosundan adı Thomas olan sürücülerin uyruklarını getir.,SELECT uyruk WHERE ad EQL Thomas
Adı Charles olan hastaların telefonlarını bul.,SELECT telefon WHERE ad EQL Charles
Veritabanındaki tüm çiftliklerin keçi sayılarını yazdır.,SELECT keci_sayisi
Şarkılar tablosundan türü Slow olan şarkıların çıkış tarihlerini getir.,SELECT cikis_tarihi WHERE tur EQL Slow
Şarkılardan dili Turkce olan şarkıların dillerini getir.,SELECT dil WHERE dil EQL Turkce
Toplam hemşire sayısı nedir?,SELECT count(numara)
Çıkış tarihi 1900 olan şarkıların numaralarını getir.,SELECT numara WHERE cikis_tarihi EQL 1900
Cihazı Apple olan cihazların versiyonlarını getir.,SELECT versiyon WHERE cihaz EQL Apple
Numarası 20202020 olan sürücülerin soyadlarını bul.,SELECT soyad WHERE kod EQL 20202020
Adı Satranc olan tüm kulüplerin numaralarını getir.,SELECT numara WHERE ad EQL Satranc
Arabalardan ülkesi Almanya olan arabaların beygir güçlerini göster.,SELECT beygir_gucu WHERE ulke EQL Almanya
Mağazalardan numarası 1 olan mağazaların konumlarını göster.,SELECT konum WHERE numara EQL 1
Veritabanındaki ekran modu Big olan telefonların ekran modlarını yazdır.,SELECT ekran_modu WHERE ekran_modu EQL Big
Şarkıların dillerini göster.,SELECT dil
Adı Project Z olan tüm projelerin adlarını getir.,SELECT ad WHERE ad EQL Project Z
Yılı 1926 olan arabaların numaralarını getir.,SELECT numara WHERE yil EQL 1926
Tüm müzelerin açılış yıllarını getir.,SELECT acilis_yili
Türü Slow olan şarkıların numaralarını bul.,SELECT numara WHERE tur EQL Slow
Cihazlardan numarası 1 olan cihazların cihazlarını getir.,SELECT cihaz WHERE numara EQL 1
Müzeler tablosunda açılış yılı 2010 olan müzelerin numaralarını getir.,SELECT numara WHERE acilis_yili EQL 2010
Tüm cihazların sadece işletim sistemlerini göster.,SELECT isletim_sistemi
Çalışanlardan numarası 1 olan çalışanların soyadlarını getir.,SELECT soyad WHERE numara EQL 1
Demiryolları tablosundan numarası 1 olan demiryollarının konumlarını getir.,SELECT konum WHERE numara EQL 1
Inek sayısı 10 olan çiftliklerin keçi sayılarını bul.,SELECT keci_sayisi WHERE inek_sayisi EQL 10
Toplam kitap sayısını göster.,SELECT count(numara)
Modeli Mercedes olan arabaların beygir güçlerini bul.,SELECT beygir_gucu WHERE model EQL Mercedes
Numarası 1 olan personellerin soyadlarını bul.,SELECT soyad WHERE numara EQL 1
Yazarlar tablosundan adı James olan yazarların numaralarını getir.,SELECT numara WHERE ad EQL James
En büyük yarış numarasını göster.,SELECT max(numara)
Veritabanındaki modeli iPhone olan telefonların ekran modlarını yazdır.,SELECT ekran_modu WHERE model EQL iPhone
Veritabanındaki yaşı 16 olan öğrencilerin yaşlarını yazdır.,SELECT yas WHERE yas EQL 16
Şarkılardan sanatçısı Muzeyyen Senar olan şarkıların türlerini getir.,SELECT tur WHERE sanatci EQL Muzeyyen Senar
Soyadı Taylor olan personellerin cinsiyetlerini getir.,SELECT cinsiyet WHERE soyad EQL Taylor
Veritabanındaki adı Gallery of Earth olan müzelerin açılış yıllarını yazdır.,SELECT acilis_yili WHERE ad EQL Gallery of Earth
Çiftliklerden koyun sayısı 5 olan çiftliklerin domuz sayılarını getir.,SELECT domuz_sayisi WHERE koyun_sayisi EQL 5
Yönetici tablosu içinde kaç tane yönetici kaydı olduğunu ekrana getir.,SELECT count(numara)
Adı Minecraft olan tüm oyunların kategorilerini getir.,SELECT kategori WHERE ad EQL Minecraft
Numarası 1 olan hastaların sigortalarını listele.,SELECT sigorta WHERE numara EQL 1
Tüm köprülerin sadece adlarını göster.,SELECT ad
Sürücü tablosu içerisinde bulunan tipleri ekrana getir.,SELECT tip
Cihazlar tablosundan işletim sistemi IOS olan cihazların işletim sistemlerini getir.,SELECT isletim_sistemi WHERE isletim_sistemi EQL IOS
Projeler tablosunda adı Project Z olan projelerin numaralarını getir.,SELECT numara WHERE ad EQL Project Z
Veritabanındaki modeli Mercedes olan arabaların modellerini yazdır.,SELECT model WHERE model EQL Mercedes
Açılış yılı 2020 olan tüm mağazaların numaralarını getir.,SELECT numara WHERE acilis_yili EQL 2020
Adı Fatih Sultan Mehmet Koprusu olan köprülerin konumlarını getir.,SELECT konum WHERE ad EQL Fatih Sultan Mehmet Koprusu
Şehirler tablosunda numarası 1 olan şehirlerin numaralarını getir.,SELECT numara WHERE numara EQL 1
Başlangıcı Istanbul olan uçuşların kalkış tarihlerini listele.,SELECT kalkis_tarihi WHERE baslangic EQL Istanbul
Tüm insanların adlarını görüntüle.,SELECT ad
Uçuş sayısını getir.,SELECT count(numara)
Tüm kulüplerin numaralarını listele.,SELECT numara
Doğum tarihi 01/04/1990 olan tüm insanların numaralarını getir.,SELECT numara WHERE dogum_tarihi EQL 01/04/1990
Stadyumlardan kapasitesi 99354 olan stadyumların açılış yıllarını göster.,SELECT acilis_yili WHERE kapasite EQL 99354
Stadyumlardan açılış yılı 1957 olan stadyumların numaralarını getir.,SELECT numara WHERE acilis_yili EQL 1957
Yayınların yayıncılarını göster.,SELECT yayinci
Veritabanındaki kurucusu Union Pacific Corporation olan demiryollarının demiryollarını yazdır.,SELECT demiryolu WHERE kurucu EQL Union Pacific Corporation
At sayısı 2 olan çiftliklerin numaralarını bul.,SELECT numara WHERE at_sayisi EQL 2
Tüm arabaların sadece ülkelerini göster.,SELECT ulke
Toplam stadyum sayısını göster.,SELECT count(numara)
Adı William olan çalışanların numaralarını getir.,SELECT numara WHERE ad EQL William
Varış tarihi 19/05/2022 14:00 olan uçuşların kalkış tarihlerini getir.,SELECT kalkis_tarihi WHERE varis_tarihi EQL 19/05/2022 14:00
Şarkılar tablosunda adı Istanbul Sokaklari olan şarkıların sanatçılarını getir.,SELECT sanatci WHERE ad EQL Istanbul Sokaklari
Kitapların kategorilerini göster.,SELECT kategori
Pilotlardan numarası 1 olan pilotların cinsiyetlerini getir.,SELECT cinsiyet WHERE numara EQL 1
Restoranlar tablosunda derecesi 2/5 olan restoranların adlarını getir.,SELECT ad WHERE derece EQL 2/5
Arabaların beygir güçlerini göster.,SELECT beygir_gucu
Adı David olan öğrencilerin adlarını listele.,SELECT ad WHERE ad EQL David
Mimarlar tablosundan uyruğu Ingiliz olan mimarların numaralarını getir.,SELECT numara WHERE uyruk EQL Ingiliz
Çalışanlar tablosundan soyadı Garcia olan çalışanların maaşlarını getir.,SELECT maas WHERE soyad EQL Garcia
Toplam şarkı sayısını göster.,SELECT count(numara)
Bütün köprülerin konumlarını göster.,SELECT konum
Yarışlar tablosundan yılı 2005 olan yarışların turlarını getir.,SELECT tur WHERE yil EQL 2005
Sanatçılar tablosundan adı Leonardo da Vinci olan sanatçıların numaralarını getir.,SELECT numara WHERE ad EQL Leonardo da Vinci
Kayıdı 01/05/2015 olan tüm hemşirelerin numaralarını getir.,SELECT numara WHERE kayit EQL 01/05/2015
Adı MATH101 olan derslerin kredilerini listele.,SELECT kredi WHERE ad EQL MATH101
Numarası 1 olan randevuların tarihlerini listele.,SELECT tarih WHERE numara EQL 1
Numarası 1 olan tüm çalışanların maaşlarını getir.,SELECT maas WHERE numara EQL 1
Ürünler tablosundan kodu 5090 olan ürünlerin fiyatlarını getir.,SELECT fiyat WHERE kod EQL 5090
Veritabanındaki tüm uçuşların mesafelerini yazdır.,SELECT mesafe
Oyunlardan adı Minecraft olan oyunların kategorilerini göster.,SELECT kategori WHERE ad EQL Minecraft
Keçi sayısı 2 olan çiftliklerin inek sayılarını listele.,SELECT inek_sayisi WHERE keci_sayisi EQL 2
Veritabanındaki ülkesi Fransa olan sanatçıların numaralarını yazdır.,SELECT numara WHERE ulke EQL Fransa
Öğretmenler tablosundan şehiri Londra olan öğretmenlerin adlarını getir.,SELECT ad WHERE sehir EQL Londra
Veritabanındaki yarışların sayısını yazdır.,SELECT count(numara)
Çiftliklerin inek sayılarını getir.,SELECT inek_sayisi
Uluslararası yolcusu 35858 olan havalimanlarının numaralarını listele.,SELECT numara WHERE uluslararasi_yolcu EQL 35858
Adı David olan öğrencilerin soyadlarını getir.,SELECT soyad WHERE ad EQL David
Şehiri Londra olan tüm öğretmenlerin yaşlarını getir.,SELECT yas WHERE sehir EQL Londra
Veritabanındaki numarası 1 olan köprülerin numaralarını yazdır.,SELECT numara WHERE numara EQL 1
Sürücüler tablosundan numarası 1 olan sürücülerin tiplerini getir.,SELECT tip WHERE numara EQL 1
Soyadı Taylor olan personellerin cinsiyetlerini bul.,SELECT cinsiyet WHERE soyad EQL Taylor
Uluslararası yolcusu 35858 olan havalimanlarının iç yolcularını bul.,SELECT ic_yolcu WHERE uluslararasi_yolcu EQL 35858
Öğrencilerden cinsiyeti Erkek olan öğrencilerin cinsiyetlerini göster.,SELECT cinsiyet WHERE cinsiyet EQL Erkek
Oyunculardan numarası 1 olan oyuncuların uyruklarını göster.,SELECT uyruk WHERE numara EQL 1
Adı MATH101 olan derslerin adlarını bul.,SELECT ad WHERE ad EQL MATH101
Adı Gallery of Earth olan müzelerin adlarını bul.,SELECT ad WHERE ad EQL Gallery of Earth
Sürücülerden numarası 1 olan sürücülerin adlarını göster.,SELECT ad WHERE numara EQL 1
Çalışanlardan maaşı 80000 olan çalışanların adlarını getir.,SELECT ad WHERE maas EQL 80000
Demiryollarından numarası 1 olan demiryollarının numaralarını getir.,SELECT numara WHERE numara EQL 1
Havalimanlarından en büyük iç yolcuyu getir.,SELECT max(ic_yolcu)
Toplamda kaç kitap olduğunu göster.,SELECT count(numara)
Veritabanındaki pozisyonu Clinical Nurse olan hemşirelerin kayıtlarını yazdır.,SELECT kayit WHERE pozisyon EQL Clinical Nurse
Yeri Izmir olan sinemaların numaralarını listele.,SELECT numara WHERE yer EQL Izmir
Pilotlardan adı Robert olan pilotların yaşlarını getir.,SELECT yas WHERE ad EQL Robert
Veritabanındaki tüm sinemaların adlarını yazdır.,SELECT ad
Kategorisi Survival olan tüm oyunların adlarını getir.,SELECT ad WHERE kategori EQL Survival
Cihazlardan versiyonu 15 olan cihazların işletim sistemlerini getir.,SELECT isletim_sistemi WHERE versiyon EQL 15
Yöneticiler tablosundaki en büyük yaşı getir.,SELECT max(yas)
Veritabanındaki derecesi 2/5 olan restoranların adlarını yazdır.,SELECT ad WHERE derece EQL 2/5
Numarası 1 olan tüm oyunların numaralarını getir.,SELECT numara WHERE numara EQL 1
Kalkışı Chennai olan tüm trenlerin adlarını getir.,SELECT ad WHERE kalkis EQL Chennai
Cinsiyeti Erkek olan öğrencilerin cinsiyetlerini bul.,SELECT cinsiyet WHERE cinsiyet EQL Erkek
Restoranlar tablosundan tipi Fast Food olan restoranların derecelerini getir.,SELECT derece WHERE tip EQL Fast Food
Personeller tablosundan telefonu 1 505-644-9320 olan personellerin numaralarını getir.,SELECT numara WHERE telefon EQL 1 505-644-9320
Yarışlar tablosunda tarihi 01/04/2005 olan yarışların adlarını getir.,SELECT ad WHERE tarih EQL 01/04/2005
Öğrenciler tablosundan adı David olan öğrencilerin numaralarını getir.,SELECT numara WHERE ad EQL David
Trenler tablosundan varışı 23:39 olan trenlerin varışlarını getir.,SELECT varis WHERE varis EQL 23:39
Bütün çiftliklerin koyun sayılarını göster.,SELECT koyun_sayisi
Adı Charles olan tüm hastaların telefonlarını getir.,SELECT telefon WHERE ad EQL Charles
Uyruğu Ingiliz olan mimarların numaralarını bul.,SELECT numara WHERE uyruk EQL Ingiliz
Uçuş tablosu içerisinde bulunan varış tarihlerini ekrana getir.,SELECT varis_tarihi
Öğretmenlerden yaşı 36 olan öğretmenlerin yaşlarını getir.,SELECT yas WHERE yas EQL 36
Uluslararası yolcusu 35858 olan tüm havalimanlarının adlarını getir.,SELECT ad WHERE uluslararasi_yolcu EQL 35858
Sanatçıların numaralarını getir.,SELECT numara
Açılış yılı 2010 olan müzelerin personel sayılarını listele.,SELECT personel_sayisi WHERE acilis_yili EQL 2010
Yılı 2021 olan yayınların alıntılarını bul.,SELECT alinti WHERE yil EQL 2021
Arabalar tablosundan yılı 1926 olan arabaların yıllarını getir.,SELECT yil WHERE yil EQL 1926
Veritabanındaki adı Matthew Carter olan oyuncuların adlarını yazdır.,SELECT ad WHERE ad EQL Matthew Carter
Cinsiyeti Male olan pilotların numaralarını bul.,SELECT numara WHERE cinsiyet EQL Male
Veritabanındaki cinsiyeti Erkek olan öğrencilerin numaralarını yazdır.,SELECT numara WHERE cinsiyet EQL Erkek
Adı Anthony olan yöneticilerin yaşlarını bul.,SELECT yas WHERE ad EQL Anthony
Adı Satranc olan tüm kulüplerin adlarını getir.,SELECT ad WHERE ad EQL Satranc
Veritabanındaki keçi sayısı 2 olan çiftliklerin boğa sayılarını yazdır.,SELECT boga_sayisi WHERE keci_sayisi EQL 2
Kalkışı Chennai olan tüm trenlerin varışlarını getir.,SELECT varis WHERE kalkis EQL Chennai
Yöneticilerden yaşı 30 olan yöneticilerin düzeylerini getir.,SELECT duzey WHERE yas EQL 30
Şehirlerden numarası 1 olan şehirlerin nüfuslarını getir.,SELECT nufus WHERE numara EQL 1
Çiftlikler tablosundaki en büyük numarayı getir.,SELECT max(numara)
Hastalar tablosundan numarası 1 olan hastaların numaralarını getir.,SELECT numara WHERE numara EQL 1
Veritabanındaki kitaplardan en büyük numarayı yazdır.,SELECT max(numara)
Bütün havalimanlarının numaralarını göster.,SELECT numara
Toplam demiryolu sayısı nedir?,SELECT count(numara)
Çiftlikler tablosundan inek sayısı 10 olan çiftliklerin koyun sayılarını getir.,SELECT koyun_sayisi WHERE inek_sayisi EQL 10
Veritabanındaki tüm şarkıların türlerini yazdır.,SELECT tur
Sinemalar tablosunda adı Cinemaximum olan sinemaların numaralarını getir.,SELECT numara WHERE ad EQL Cinemaximum
Çiftlikler tablosundan boğa sayısı 5 olan çiftliklerin at sayılarını getir.,SELECT at_sayisi WHERE boga_sayisi EQL 5
Restoran tablosu içinde kaç tane restoran kaydı olduğunu ekrana getir.,SELECT count(numara)
Tüm hemşirelerin adlarını getir.,SELECT ad
Türü Slow olan tüm şarkıların adlarını getir.,SELECT ad WHERE tur EQL Slow
Sürücüler tablosundan adı Thomas olan sürücülerin tiplerini getir.,SELECT tip WHERE ad EQL Thomas
Uyruğu Ingiliz olan tüm mimarların adlarını getir.,SELECT ad WHERE uyruk EQL Ingiliz
Mağazalardan adı A Giyim olan mağazaların açılış yıllarını getir.,SELECT acilis_yili WHERE ad EQL A Giyim
Tüm insanların boylarını getir.,SELECT boy
Öğrenciler tablosundaki en büyük yaşı göster.,SELECT max(yas)
Veritabanındaki tüm pilotların cinsiyetlerini yazdır.,SELECT cinsiyet
Kapasitesi 99354 olan stadyumların kapasitelerini bul.,SELECT kapasite WHERE kapasite EQL 99354
Numarası 1 olan havalimanlarının iç yolcularını bul.,SELECT ic_yolcu WHERE numara EQL 1
Ülkesi Amerika olan telefonların numaralarını bul.,SELECT numara WHERE ulke EQL Amerika
Adı AI Conference olan konferansların adlarını getir.,SELECT ad WHERE ad EQL AI Conference
Mağazalardan açılış yılı 2020 olan mağazaların adlarını göster.,SELECT ad WHERE acilis_yili EQL 2020
Açılış yılı 2020 olan mağazaların adlarını bul.,SELECT ad WHERE acilis_yili EQL 2020
Uçuşlardan kalkış tarihi 19/05/2022 13:00 olan uçuşların mesafelerini göster.,SELECT mesafe WHERE kalkis_tarihi EQL 19/05/2022 13:00
Konumu Kadikoy olan mağazaların adlarını bul.,SELECT ad WHERE konum EQL Kadikoy
Öğretmenlerden yaşı 36 olan öğretmenlerin şehirlerini getir.,SELECT sehir WHERE yas EQL 36
Ekran modu Big olan telefonların ekran modlarını getir.,SELECT ekran_modu WHERE ekran_modu EQL Big
Toplam randevu sayısını getir.,SELECT count(numara)
Bütün uçuşların başlangıçlarını getir.,SELECT baslangic
Personeller tablosunda cinsiyeti Male olan personellerin telefonlarını getir.,SELECT telefon WHERE cinsiyet EQL Male
Bütün çiftliklerin at sayılarını göster.,SELECT at_sayisi
Hastaların sigortalarını göster.,SELECT sigorta
Sanatçılar tablosundan cinsiyeti Erkek olan sanatçıların adlarını getir.,SELECT ad WHERE cinsiyet EQL Erkek
Öğretmenlerden yaşı 36 olan öğretmenlerin adlarını getir.,SELECT ad WHERE yas EQL 36
Bütün müzelerin numaralarını göster.,SELECT numara
Öğrencilerden adı David olan öğrencilerin yaşlarını getir.,SELECT yas WHERE ad EQL David
Veritabanındaki numarası 1 olan mimarların adlarını yazdır.,SELECT ad WHERE numara EQL 1
Numarası 1 olan tüm yüzücülerin adlarını getir.,SELECT ad WHERE numara EQL 1
Kalkışı Chennai olan trenlerin kalkışlarını getir.,SELECT kalkis WHERE kalkis EQL Chennai
Yüzücülerden uyruğu Amerika olan yüzücülerin numaralarını getir.,SELECT numara WHERE uyruk EQL Amerika
Veritabanındaki cinsiyeti Male olan mimarların adlarını yazdır.,SELECT ad WHERE cinsiyet EQL Male
Türü Slow olan tüm şarkıların numaralarını getir.,SELECT numara WHERE tur EQL Slow
Yaşı 34 olan pilotların numaralarını listele.,SELECT numara WHERE yas EQL 34
Uçaklardan toplam yolcusu 475 olan uçakların numaralarını göster.,SELECT numara WHERE toplam_yolcu EQL 475
Iç yolcusu 63648 olan havalimanlarının iç yolcularını bul.,SELECT ic_yolcu WHERE ic_yolcu EQL 63648
Sürücülerden numarası 20202020 olan sürücülerin soyadlarını getir.,SELECT soyad WHERE kod EQL 20202020
Kalkış tarihi 19/05/2022 13:00 olan uçuşların varış tarihlerini listele.,SELECT varis_tarihi WHERE kalkis_tarihi EQL 19/05/2022 13:00
Uçuşlar tablosunda numarası TK1919 olan uçuşların başlangıçlarını getir.,SELECT baslangic WHERE kod EQL TK1919
Veritabanındaki varışı Ankara olan uçuşların numaralarını yazdır.,SELECT numara WHERE varis EQL Ankara
